Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765110554,20,,Aggregated,9.700000,9.700000,4,5,5,5,7,10,14,18,60,60,60,318,318,4,4.949490393203707,1.6612079925835133,60.193958997842856,0.0
1765110555,20,,Aggregated,9.800000,9.800000,4,5,5,5,7,10,14,18,60,60,60,330,330,4,4.899139230529369,1.6612079925835133,60.193958997842856,0.0
1765110556,20,,Aggregated,9.600000,9.600000,4,5,5,5,7,10,14,18,60,60,60,339,339,4,4.892606902937954,1.6612079925835133,60.193958997842856,0.0
1765110557,20,,Aggregated,9.800000,9.800000,4,5,5,5,7,10,14,31,60,60,60,350,350,4,4.9348421144947805,1.6612079925835133,60.193958997842856,0.0
1765110558,20,,Aggregated,10.000000,10.000000,4,5,5,5,7,10,14,34,60,60,60,356,356,4,5.0501298906413705,1.6612079925835133,60.193958997842856,0.0
1765110559,20,,Aggregated,10.400000,10.400000,4,5,5,5,7,10,14,34,60,60,60,368,368,4,5.021477897017853,1.6612079925835133,60.193958997842856,0.0
1765110560,20,,Aggregated,10.200000,10.200000,4,5,5,5,7,10,14,34,60,60,60,377,377,4,5.02072632384106,1.6612079925835133,60.193958997842856,0.0
1765110561,20,,Aggregated,10.000000,10.000000,4,5,5,5,7,10,14,34,60,60,60,388,388,4,4.963152572524928,1.6612079925835133,60.193958997842856,0.0
1765110562,20,,Aggregated,9.900000,9.900000,4,5,5,5,7,10,14,34,60,60,60,399,399,4,4.938854090533894,1.6612079925835133,60.193958997842856,0.0
1765110563,20,,Aggregated,9.700000,9.700000,4,5,5,5,7,11,18,48,91,91,91,407,407,4,5.462336791551978,1.6612079925835133,90.67170800699387,0.0
1765110564,20,,Aggregated,10.100000,10.100000,4,5,5,5,7,11,18,48,91,91,91,420,420,4,5.424868528955683,1.6612079925835133,90.67170800699387,0.0
1765110565,20,,Aggregated,10.100000,10.100000,4,5,5,5,7,11,18,48,91,91,91,431,431,4,5.3891238217347945,1.6612079925835133,90.67170800699387,0.0
1765110566,20,,Aggregated,9.900000,9.900000,4,5,5,5,7,11,18,48,91,91,91,436,436,4,5.377117236552828,1.6612079925835133,90.67170800699387,0.0
1765110567,20,,Aggregated,10.400000,10.400000,4,5,5,5,7,10,18,48,91,91,91,449,449,4,5.341609390038958,1.6612079925835133,90.67170800699387,0.0
1765110568,20,,Aggregated,10.000000,10.000000,4,4,5,5,7,10,16,48,91,91,91,457,457,4,5.30800964141721,1.6612079925835133,90.67170800699387,0.0
