Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2980,2980,2,2.823189363967051,0.5483749991981313,595.8020419930108,0.0,9.944813789488554,9.944813789488554,2,3,3,3,4,4,7,10,50,600,600
,Aggregated,2980,2980,2,2.823189363967051,0.5483749991981313,595.8020419930108,0.0,9.944813789488554,9.944813789488554,2,3,3,3,4,4,7,10,50,600,600
